@iter
unbpe finished for wait 1..10(catchup) for both dev/test set
----------BLEU on dev----------
4 refences
wait 10  BLEU = 0.08, 71.2/41.7/25.9/16.6 (BP=0.002, ratio=0.142, hyp_len=3002, ref_len=21203)
ref 0 1 3
tgt 2   BLEU = 45.34, 82.1/55.6/38.4/26.9 (BP=0.973, ratio=0.973, hyp_len=21875, ref_len=22480)
wait 1  BLEU = 22.89, 61.8/31.4/17.1/9.7 (BP=0.961, ratio=0.962, hyp_len=22157, ref_len=23036)
wait 2  BLEU = 19.95, 64.5/33.6/18.7/10.8 (BP=0.776, ratio=0.798, hyp_len=18041, ref_len=22617)
wait 3  BLEU = 18.01, 65.8/35.3/20.0/11.8 (BP=0.661, ratio=0.708, hyp_len=15983, ref_len=22590)
wait 4  BLEU = 8.51, 67.6/37.4/21.9/13.1 (BP=0.291, ratio=0.448, hyp_len=9923, ref_len=22156)
wait 5  BLEU = 3.32, 68.3/38.9/23.5/14.9 (BP=0.107, ratio=0.309, hyp_len=6759, ref_len=21861)
wait 6  BLEU = 1.57, 70.8/41.0/25.8/16.3 (BP=0.047, ratio=0.247, hyp_len=5376, ref_len=21790)
wait 7  BLEU = 0.16, 72.5/43.4/27.6/18.2 (BP=0.004, ratio=0.156, hyp_len=3377, ref_len=21716)
wait 8  BLEU = 0.88, 70.7/40.5/24.9/15.8 (BP=0.027, ratio=0.217, hyp_len=4722, ref_len=21767)
wait 9  BLEU = 0.29, 71.9/41.8/26.2/17.7 (BP=0.009, ratio=0.174, hyp_len=3775, ref_len=21750)
wait 10  BLEU = 0.07, 71.8/41.8/25.8/17.1 (BP=0.002, ratio=0.138, hyp_len=3002, ref_len=21714)
ref 0 1 2
tgt 3   BLEU = 46.77, 81.2/56.1/39.0/26.9 (BP=1.000, ratio=1.006, hyp_len=23010, ref_len=22878)
wait 1  BLEU = 23.16, 61.1/30.9/17.1/9.8 (BP=0.976, ratio=0.976, hyp_len=22157, ref_len=22691)
wait 2  BLEU = 20.21, 63.7/33.0/18.5/10.8 (BP=0.793, ratio=0.812, hyp_len=18041, ref_len=22214)
wait 3  BLEU = 18.04, 65.1/34.5/19.6/11.5 (BP=0.676, ratio=0.719, hyp_len=15983, ref_len=22244)
wait 4  BLEU = 8.87, 67.0/37.1/21.9/13.1 (BP=0.306, ratio=0.458, hyp_len=9923, ref_len=21689)
wait 5  BLEU = 3.58, 67.7/38.3/23.6/15.2 (BP=0.115, ratio=0.316, hyp_len=6759, ref_len=21376)
wait 6  BLEU = 1.78, 70.6/41.4/26.7/17.7 (BP=0.052, ratio=0.253, hyp_len=5376, ref_len=21287)
wait 7  BLEU = 0.19, 72.1/44.2/28.9/19.4 (BP=0.005, ratio=0.159, hyp_len=3377, ref_len=21207)
wait 8  BLEU = 1.00, 70.6/40.6/25.5/16.4 (BP=0.030, ratio=0.222, hyp_len=4722, ref_len=21253)
wait 9  BLEU = 0.34, 72.1/42.2/26.7/17.1 (BP=0.010, ratio=0.178, hyp_len=3775, ref_len=21241)
wait 10  BLEU = 0.08, 71.9/42.4/26.6/17.1 (BP=0.002, ratio=0.142, hyp_len=3002, ref_len=21207)
